hearing_id,turn_id,date,title,speaker_cluster,start_seconds,end_seconds,n_segments,raw_text,source_segment_ids,input_path,n_words,duration_seconds,start_timestamp,end_timestamp,procedural_auto,speaker_name,speaker_role,organization
h1_2025_12_03,h1_2025_12_03_t00001,2025-12-03,"Data-center hearing — December 3, 2025",SPEAKER_12,0.74,7.662,3,THE BOARD WILL COME TO ORDER. INVOCATION BY MS. FULGENZI. PLEDGE OF ALLEGIANCE BY MR. CHUMMELIN.,h1_2025_12_03_s00000|h1_2025_12_03_s00001|h1_2025_12_03_s00002,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,16,6.922,00:00:00.740,00:00:07.662,False,,official,Sangamon County Board
h1_2025_12_03,h1_2025_12_03_t00002,2025-12-03,"Data-center hearing — December 3, 2025",SPEAKER_16,7.682,15.565,1,"DEVON, FOLLOW ME OUT.",h1_2025_12_03_s00003,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,4,7.882999999999999,00:00:07.682,00:00:15.565,False,,unknown,
h1_2025_12_03,h1_2025_12_03_t00003,2025-12-03,"Data-center hearing — December 3, 2025",SPEAKER_41,15.605,39.934,6,"PLEASE GUIDE US. PLEASE HELP US TO SHOW OUR NEIGHBORS COMPASSION AND GRACE AND ALL THOSE THAT WE AGREE WITH OR DISAGREE WITH. PLEASE HELP US ALL TO LISTEN AND TO LEARN TONIGHT SO THAT WE MAY MAKE THE BEST CHOICES FOR OUR COMMUNITY. And dear Lord, please bless everyone in this room and our community as we go into the holiday season. May everyone enjoy faith, family, and this season. Amen.",h1_2025_12_03_s00004|h1_2025_12_03_s00005|h1_2025_12_03_s00006|h1_2025_12_03_s00007|h1_2025_12_03_s00008|h1_2025_12_03_s00009,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,72,24.328999999999997,00:00:15.605,00:00:39.934,False,,official,Sangamon County Board
h1_2025_12_03,h1_2025_12_03_t00004,2025-12-03,"Data-center hearing — December 3, 2025",SPEAKER_17,39.954,55.225,1,"I pledge allegiance to the flag of the United States of America and to the republic for which it stands, one nation, under God, indivisible, with liberty and justice for all.",h1_2025_12_03_s00010,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,31,15.271,00:00:39.954,00:00:55.225,False,,unknown,
h1_2025_12_03,h1_2025_12_03_t00005,2025-12-03,"Data-center hearing — December 3, 2025",SPEAKER_12,60.77,86.045,1,an announcement to the public we will be closing the sign-up sheet speak tonight thirty minutes into the program so if you want to sign up to speak tonight please go outside there's a sign-up sheet the clerk will call the roll on this special hearing here's here canman canman excuse constant here desco,h1_2025_12_03_s00011,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,58,25.275,00:01:00.770,00:01:26.045,False,,official,Sangamon County Board
h1_2025_12_03,h1_2025_12_03_t00006,2025-12-03,"Data-center hearing — December 3, 2025",SPEAKER_26,89.2,108.381,22,Excuse. Diener. Here. DelGiorno. Here. Steppe. Excuse. Douglas Williams. Here. Forsyth. Here. Frazee. Here. Fulgenzi. Here. Guyton. Excused. Hall. Here. Crell. Here. Lathan.,h1_2025_12_03_s00012|h1_2025_12_03_s00013|h1_2025_12_03_s00014|h1_2025_12_03_s00015|h1_2025_12_03_s00016|h1_2025_12_03_s00017|h1_2025_12_03_s00018|h1_2025_12_03_s00019|h1_2025_12_03_s00020|h1_2025_12_03_s00021|h1_2025_12_03_s00022|h1_2025_12_03_s00023|h1_2025_12_03_s00024|h1_2025_12_03_s00025|h1_2025_12_03_s00026|h1_2025_12_03_s00027|h1_2025_12_03_s00028|h1_2025_12_03_s00029|h1_2025_12_03_s00030|h1_2025_12_03_s00031|h1_2025_12_03_s00032|h1_2025_12_03_s00033,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,23,19.180999999999997,00:01:29.200,00:01:48.381,False,,staff,Sangamon County Clerk
h1_2025_12_03,h1_2025_12_03_t00007,2025-12-03,"Data-center hearing — December 3, 2025",SPEAKER_17,109.081,109.221,1,Here.,h1_2025_12_03_s00034,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,1,0.14000000000000057,00:01:49.081,00:01:49.221,False,,unknown,
h1_2025_12_03,h1_2025_12_03_t00008,2025-12-03,"Data-center hearing — December 3, 2025",SPEAKER_26,110.321,115.963,5,Madonia. Here. McGuire. Excused. Mendenhall.,h1_2025_12_03_s00035|h1_2025_12_03_s00036|h1_2025_12_03_s00037|h1_2025_12_03_s00038|h1_2025_12_03_s00039,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,5,5.641999999999996,00:01:50.321,00:01:55.963,False,,staff,Sangamon County Clerk
h1_2025_12_03,h1_2025_12_03_t00009,2025-12-03,"Data-center hearing — December 3, 2025",SPEAKER_17,116.403,116.583,1,Here.,h1_2025_12_03_s00040,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,1,0.1799999999999926,00:01:56.403,00:01:56.583,False,,unknown,
h1_2025_12_03,h1_2025_12_03_t00010,2025-12-03,"Data-center hearing — December 3, 2025",SPEAKER_26,117.123,117.403,1,Miller.,h1_2025_12_03_s00041,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,1,0.28000000000000114,00:01:57.123,00:01:57.403,False,,staff,Sangamon County Clerk
