segment_id_original,start_seconds,end_seconds,speaker_cluster,raw_text,hearing_id,date,title,input_path,input_format,segment_index,segment_id,n_words,duration_seconds,start_timestamp,end_timestamp
0,0.74,1.941,SPEAKER_12,THE BOARD WILL COME TO ORDER.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,0,h1_2025_12_03_s00000,6,1.201,00:00:00.740,00:00:01.941
1,3.301,5.102,SPEAKER_12,INVOCATION BY MS. FULGENZI.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,1,h1_2025_12_03_s00001,4,1.8010000000000002,00:00:03.301,00:00:05.102
2,5.982,7.662,SPEAKER_12,PLEDGE OF ALLEGIANCE BY MR. CHUMMELIN.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,2,h1_2025_12_03_s00002,6,1.6799999999999997,00:00:05.982,00:00:07.662
3,7.682,15.565,SPEAKER_16,"DEVON, FOLLOW ME OUT.",h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,3,h1_2025_12_03_s00003,4,7.882999999999999,00:00:07.682,00:00:15.565
4,15.605,17.245,SPEAKER_41,PLEASE GUIDE US.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,4,h1_2025_12_03_s00004,3,1.6400000000000006,00:00:15.605,00:00:17.245
5,17.746,23.287,SPEAKER_41,PLEASE HELP US TO SHOW OUR NEIGHBORS COMPASSION AND GRACE AND ALL THOSE THAT WE AGREE WITH OR DISAGREE WITH.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,5,h1_2025_12_03_s00005,20,5.541,00:00:17.746,00:00:23.287
6,24.028,28.589,SPEAKER_41,PLEASE HELP US ALL TO LISTEN AND TO LEARN TONIGHT SO THAT WE MAY MAKE THE BEST CHOICES FOR OUR COMMUNITY.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,6,h1_2025_12_03_s00006,21,4.561,00:00:24.028,00:00:28.589
7,30.087,35.011,SPEAKER_41,"And dear Lord, please bless everyone in this room and our community as we go into the holiday season.",h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,7,h1_2025_12_03_s00007,19,4.924000000000003,00:00:30.087,00:00:35.011
8,35.071,39.274,SPEAKER_41,"May everyone enjoy faith, family, and this season.",h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,8,h1_2025_12_03_s00008,8,4.203000000000003,00:00:35.071,00:00:39.274
9,39.754,39.934,SPEAKER_41,Amen.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,9,h1_2025_12_03_s00009,1,0.17999999999999972,00:00:39.754,00:00:39.934
