hearing_id,comment_id,speaker_type,speaker_name,speaker_cluster,start_timestamp,word_count,question_flag,analysis_text
h1_2025_12_03,h1_2025_12_03_t00001,official,Unknown speaker,SPEAKER_12,00:00:00.740,16,False,THE BOARD WILL COME TO ORDER. INVOCATION BY MS. FULGENZI. PLEDGE OF ALLEGIANCE BY MR. CHUMMELIN.
h1_2025_12_03,h1_2025_12_03_t00002,unknown,Unknown speaker,SPEAKER_16,00:00:07.682,4,False,"DEVON, FOLLOW ME OUT."
h1_2025_12_03,h1_2025_12_03_t00003,official,Unknown speaker,SPEAKER_41,00:00:15.605,72,False,"PLEASE GUIDE US. PLEASE HELP US TO SHOW OUR NEIGHBORS COMPASSION AND GRACE AND ALL THOSE THAT WE AGREE WITH OR DISAGREE WITH. PLEASE HELP US ALL TO LISTEN AND TO LEARN TONIGHT SO THAT WE MAY MAKE THE BEST CHOICES FOR OUR COMMUNITY. And dear Lord, please bless everyone in this room and our community as we go into the holiday season. May everyone enjoy faith, family, and this season. Amen."
h1_2025_12_03,h1_2025_12_03_t00004,unknown,Unknown speaker,SPEAKER_17,00:00:39.954,31,False,"I pledge allegiance to the flag of the United States of America and to the republic for which it stands, one nation, under God, indivisible, with liberty and justice for all."
h1_2025_12_03,h1_2025_12_03_t00005,official,Unknown speaker,SPEAKER_12,00:01:00.770,58,False,an announcement to the public we will be closing the sign-up sheet speak tonight thirty minutes into the program so if you want to sign up to speak tonight please go outside there's a sign-up sheet the clerk will call the roll on this special hearing here's here canman canman excuse constant here desco
h1_2025_12_03,h1_2025_12_03_t00006,staff,Unknown speaker,SPEAKER_26,00:01:29.200,23,False,Excuse. Diener. Here. DelGiorno. Here. Steppe. Excuse. Douglas Williams. Here. Forsyth. Here. Frazee. Here. Fulgenzi. Here. Guyton. Excused. Hall. Here. Crell. Here. Lathan.
h1_2025_12_03,h1_2025_12_03_t00007,unknown,Unknown speaker,SPEAKER_17,00:01:49.081,1,False,Here.
h1_2025_12_03,h1_2025_12_03_t00008,staff,Unknown speaker,SPEAKER_26,00:01:50.321,5,False,Madonia. Here. McGuire. Excused. Mendenhall.
h1_2025_12_03,h1_2025_12_03_t00009,unknown,Unknown speaker,SPEAKER_17,00:01:56.403,1,False,Here.
h1_2025_12_03,h1_2025_12_03_t00010,staff,Unknown speaker,SPEAKER_26,00:01:57.123,1,False,Miller.
h1_2025_12_03,h1_2025_12_03_t00011,unknown,Unknown speaker,SPEAKER_17,00:01:57.743,1,False,Here.
h1_2025_12_03,h1_2025_12_03_t00012,staff,Unknown speaker,SPEAKER_26,00:01:59.063,17,False,Rader. Here. Scaife. Here. Shackman. Here. Shepard. Excused. Small. Here. Stumpf. Here. Thomas. Here. Chumlin. Here. Truex.
h1_2025_12_03,h1_2025_12_03_t00013,public,Unknown speaker,SPEAKER_07,00:02:12.586,1,False,Here.
h1_2025_12_03,h1_2025_12_03_t00014,official,Unknown speaker,SPEAKER_12,00:02:13.178,78,True,chairman's also present twenty three present six acts thank you mister clark we know we have a number of board members who are still trying to find a place to park but they will be here here shortly and we have a long agenda tonight so we thought it was important to go ahead and get started uh... is there a motion from the flora for organizing this evening's meeting mr delgiano mr delgiano is recognized
h1_2025_12_03,h1_2025_12_03_t00015,official,Unknown speaker,SPEAKER_18,00:02:43.150,32,False,"Mr. Chairman, there is a resolution that has been distributed establishing purpose and procedure for today's public hearing on the proposed data center, and I would move that that be adopted."
h1_2025_12_03,h1_2025_12_03_t00017,official,Unknown speaker,SPEAKER_18,00:02:57.305,1,False,Aye.
h1_2025_12_03,h1_2025_12_03_t00019,official,Unknown speaker,SPEAKER_30,00:03:07.437,18,False,"Chairman. Mr. Madonia. I move that Mr. Stump, District 16 board member, be appointed chairman of the meeting."
h1_2025_12_03,h1_2025_12_03_t00021,official,Unknown speaker,SPEAKER_25,00:04:00.773,2,False,"Hello, everyone."
